name,year,genre,rating,director,votes
Alien,1979,Horror/Sci-Fi,8.5,Ridley Scott,905275
Psycho,1960,Horror/Mystery/Thriller,8.5,Alfred Hitchcock,689068
The Shining,1980,Drama/Horror,8.4,Stanley Kubrick,1051582
The Thing,1982,Horror/Mystery/Sci-Fi,8.2,John Carpenter,439793
Tumbbad,2018,Drama/Fantasy/Horror,8.2,Rahi Anil Barve,"53,297"
The Exorcist,1973,Horror,8.1,William Friedkin,422330
Diabolique,1955,Crime/Drama/Horror,8.1,Henri-Georges Clouzot,"67,456"
Rosemary's Baby,1968,Drama/Horror,8,Roman Polanski,223968
What Ever Happened to Baby Jane?,1962,Drama/Horror/Thriller,8,Robert Aldrich,"58,904"
The Cabinet of Dr. Caligari,1920,Horror/Mystery/Thriller,8,Robert Wiene,"66,749"
The Blue Elephant,2014,Drama/Horror/Mystery,8,Marwan Hamed,"29,151"
Shaun of the Dead,2004,Comedy/Horror,7.9,Edgar Wright,572237
Nosferatu,1922,Fantasy/Horror,7.9,F.W. Murnau,100942
Let the Right One In,2008,Drama/Fantasy/Horror,7.9,Tomas Alfredson,221604
King Kong,1933,Adventure/Horror/Sci-Fi,7.9,Merian C. Cooper,"88,019"
Get Out I,2017,Horror/Mystery/Thriller,7.8,Jordan Peele,642604
Predator,1987,Action/Adventure/Horror,7.8,John McTiernan,435400
I Saw the Devil,2010,Action/Crime/Horror,7.8,Jee-woon Kim,137559
Dawn of the Dead,1978,Horror/Thriller,7.8,George A. Romero,124374
Night of the Living Dead,1968,Horror/Thriller,7.8,George A. Romero,133452
Freaks,1932,Drama/Horror,7.8,Tod Browning,"48,381"
Frankenstein,1931,Drama/Horror/Sci-Fi,7.8,James Whale,"75,779"
The Innocents,1961,Horror,7.8,Jack Clayton,"31,689"
The Bride of Frankenstein,1935,Drama/Horror/Sci-Fi,7.8,James Whale,"50,611"
Evil Dead II,1987,Comedy/Horror,7.7,Sam Raimi,173914
Halloween,1978,Horror/Thriller,7.7,John Carpenter,289224
Invasion of the Body Snatchers,1956,Drama/Horror/Sci-Fi,7.7,Don Siegel,"52,292"
American Psycho,2000,Crime/Drama/Horror,7.6,Mary Harron,658696
Saw,2004,Horror/Mystery/Thriller,7.6,James Wan,436144
Train to Busan,2016,Action/Horror/Thriller,7.6,Sang-ho Yeon,235577
The Fly,1986,Drama/Horror/Sci-Fi,7.6,David Cronenberg,191571
Zombieland,2009,Action/Comedy/Horror,7.6,Ruben Fleischer,596433
The Birds,1963,Drama/Horror/Mystery,7.6,Alfred Hitchcock,196469
The Skin I Live In,2011,Drama/Horror/Mystery,7.6,Pedro Almod¨®var,158708
The Others,2001,Horror/Mystery/Thriller,7.6,Alejandro Amen¨¢bar,377287
What We Do in the Shadows,2014,Comedy/Horror,7.6,Jemaine Clement,190548
Eyes Without a Face,1960,Drama/Horror,7.6,Georges Franju,"33,321"
Vampire Hunter D: Bloodlust,2000,Animation/Action/Drama,7.6,Jack Fletcher,"33,553"
Repulsion,1965,Drama/Horror/Thriller,7.6,Roman Polanski,"55,043"
One Cut of the Dead,2017,Comedy/Drama/Horror,7.6,Shin'ichir? Ueda,"27,004"
The Invisible Man,1933,Horror/Sci-Fi,7.6,James Whale,"37,549"
Peeping Tom,1960,Drama/Horror/Thriller,7.6,Michael Powell,"37,256"
The Conjuring,2013,Horror/Mystery/Thriller,7.5,James Wan,526164
A Quiet Place,2018,Drama/Horror/Sci-Fi,7.5,John Krasinski,551233
